index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
359,CHEMBL3666527,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cn3)CC2)cc1NC(=O)c1ccc(NC(C)C)nc1,active,500.578,4.8303,2,6,6.443697499
360,CHEMBL3666528,COc1ccc(C2(F)CCN(C(=O)c3ccc(C)c(NC(=O)NC4CCOC4)c3)CC2)nc1,intermediate,456.518,3.41002,2,5,5.929962133
361,CHEMBL3666529,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)NCC1CCN(C)CC1,active,491.611,4.431,2,4,6.468521083
362,CHEMBL3666530,Cc1ccc(C(=O)N2CCC(c3ccncc3)CC2)cc1NC(=O)c1ccc(N2CCC2)nc1,intermediate,455.562,4.26722,1,5,5.560667306
363,CHEMBL3666531,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)NCC1CCNCC1,active,477.584,4.0888,3,4,6.214670165
364,CHEMBL3666532,N#Cc1ccc(C2(F)CCN(C(=O)c3ccc(F)c(NC(=O)c4ccc(N5CCC5)nc4)c3)CC2)cc1,active,501.537,4.65578,1,5,6.657577319
365,CHEMBL3666533,COCCN(C)C(=O)Nc1cc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)ccc1C,intermediate,452.53,4.0778,1,4,5.05207638
366,CHEMBL3666534,N#Cc1ccc(C2(F)CCN(C(=O)c3ccc(C(F)(F)F)c(NC(=O)c4ccc(N5CCC5)nc4)c3)CC2)cc1,active,551.544,5.53548,1,5,6.920818754
367,CHEMBL3666535,COc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)c1ccc(N2CCC2)nc1,active,513.573,4.52528,1,6,7.070581074
368,CHEMBL3666536,Cc1ccc(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)NC[C@@H]1CCCO1,active,464.541,4.2682,2,4,7.301029996
369,CHEMBL3666537,Cc1cc(C)c(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)c1ccc(N2CCNCC2)nc1,active,540.643,4.33302,2,6,6.853871964
370,CHEMBL3666538,CCc1cc(C)c(C(=O)N2CCC(F)(c3ccc(C#N)cc3)CC2)cc1NC(=O)N[C@@H]1CCOC1,active,478.568,4.4405,2,4,6.30980392
371,CHEMBL3639654,Cc1ccc(NC(=O)O[C@@H]2CCOC2)cc1C(=O)N1CCC(F)(c2ccc(C#N)cc2)CC1,active,451.498,4.3051,1,5,6.37675071
372,CHEMBL3666539,CC(=O)N1CCC(OC(=O)Nc2ccc(C)c(C(=O)N3CCC(F)(c4ccc(C#N)cc4)CC3)c2)C1,active,492.551,4.137,1,5,6.782516056
