"molecule_ChemBL_ID	canonical_Smiles	MW	LogP	pIC50"
"CHEMBL462022	COc1cc(Sc2c(C)cc(C)cc2C)ccc1C#N	283.4	4.64	7.16"
"CHEMBL501649	COc1cc(Oc2ccc(C)cc2)ccc1C#N	239.27	3.67	6.68"
"CHEMBL448978	CC(C)(C)Sc1ccc(C#N)c(C(F)(F)F)c1	259.3	4.47	6.5"
"CHEMBL3084689	N#Cc1ccc(N2[C@@H]3CC[C@H]2C[C@@H](O)C3)cc1Cl	262.74	2.7	7.5"
"CHEMBL3410856	Cc1c(N2C3CCC2CC(C)(O)C3)ccc(C#N)c1Cl	290.79	3.4	8.68"
"CHEMBL1099140	CN1C(=S)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)C1(C)C	327.33	2.92	7.82"
"CHEMBL2441107	COc1cccc(C(=O)Nc2ccc(Oc3ccc(O)cc3)cc2)c1	335.36	4.45	5.72"
"CHEMBL409	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	430.38	2.88	6.76"
"CHEMBL4584527	CN(C[C@](C)(O)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1)c1ccc(C#N)c(-c2ccccc2)c1	478.47	4.94	7.32"
"CHEMBL1923999	O=C(O)c1cccc(CSc2ccc(Cl)cc2Cl)c1	313.21	4.98	4.3"
"CHEMBL491	CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	292.21	2.32	7.58"
"CHEMBL2386392	O=c1cc(-c2ccc(C(F)(F)F)cc2)oc2cccc(O)c12	306.24	4.18	5.91"
"CHEMBL462026	COc1ccccc1Sc1ccc(C#N)c(C(F)(F)F)c1	309.31	4.74	7.25"
"CHEMBL4742694	CC(=O)c1cnn(C[C@](C)(O)C(=O)Nc2ccc(C#N)c(C(F)(F)F)c2)c1	380.33	2.37	6.12"
"CHEMBL4798843	C[C@](O)(Cn1cc(I)cn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	464.19	2.77	5.69"
"CHEMBL449804	CCOc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1	307.27	4.77	7.33"
"CHEMBL451153	COc1ccc(CO)cc1Oc1ccc(C#N)c(C(F)(F)F)c1	323.27	3.87	6.67"
"CHEMBL469334	COc1cc(C)ccc1Oc1ccc(C#N)c(C(F)(F)F)c1	307.27	4.69	6.52"
"CHEMBL511145	Cc1ccc(Oc2ccc(C#N)c(C(F)(F)F)c2)c(O)c1	293.24	4.38	6.45"
"CHEMBL512837	COc1ccc(C)cc1Oc1ccc(C#N)c(C(F)(F)F)c1	307.27	4.69	6.32"
"CHEMBL1802077	COc1ccccc1C(=O)/C=C/c1ccccc1[N+](=O)[O-]	283.28	3.5	6.12"
"CHEMBL399887	N#Cc1ccc(O[C@@H]2CCCC[C@H]2C#N)cc1C(F)(F)F	294.28	4.04	7.22"
"CHEMBL458506	N#Cc1ccc([C@@H]2CCCC[C@@H]2O)cc1C(F)(F)F	269.27	3.6	5.8"
"CHEMBL503575	COc1cc(-c2ccccc2O)ccc1C#N	225.25	2.94	7.43"
"CHEMBL503575	COc1cc(-c2ccccc2O)ccc1C#N	225.25	2.94	7.7"
"CHEMBL4740742	N#Cc1ccc(NC(=O)CS(=O)(=O)c2ccc(F)cc2)cc1C(F)(F)F	386.33	3.13	6.61"
"CHEMBL2159731	N#Cc1ccc(C2=NOC3CCCC23)c(C(F)(F)F)c1	280.25	3.48	6.35"
"CHEMBL3410856	Cc1c(N2C3CCC2CC(C)(O)C3)ccc(C#N)c1Cl	290.79	3.4	8.68"
"CHEMBL4857366	C[C@](O)(Cn1cncn1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	339.28	1.56	5.96"
"CHEMBL469380	COc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1	293.24	4.38	7.08"
"CHEMBL2159549	Fc1ccc(C2=NOC3CCCCCCC23)cc1C(F)(F)F	315.31	4.92	5.55"
"CHEMBL2159547	O=[N+]([O-])c1ccc(C2=NOC3CCCCCCC23)cc1C(F)(F)F	342.32	4.69	6.15"
"CHEMBL2159544	Fc1ccc(C2=NOC3CCCCCC23)c(C(F)(F)F)c1	301.28	4.53	6.18"
"CHEMBL1802077	COc1ccccc1C(=O)/C=C/c1ccccc1[N+](=O)[O-]	283.28	3.5	6.22"
"CHEMBL469983	COc1cccc(F)c1Oc1ccc(C#N)c(C(F)(F)F)c1	311.23	4.52	7.38"
"CHEMBL469334	COc1cc(C)ccc1Oc1ccc(C#N)c(C(F)(F)F)c1	307.27	4.69	7.16"
"CHEMBL399887	N#Cc1ccc(O[C@@H]2CCCC[C@H]2C#N)cc1C(F)(F)F	294.28	4.04	7.92"
"CHEMBL449804	CCOc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1	307.27	4.77	6.92"
"CHEMBL469380	COc1ccccc1Oc1ccc(C#N)c(C(F)(F)F)c1	293.24	4.38	7.14"
"CHEMBL2159567	N#Cc1ccc(C2=NOC3CCCCC23)c(C(F)(F)F)c1	294.28	3.87	5.75"
"CHEMBL2159563	O=[N+]([O-])c1ccc(C2=NOC3CCCC23)c(C(F)(F)F)c1	300.24	3.52	6.57"
"CHEMBL2159730	N#Cc1ccc(C2=NO[C@@H]3CCC[C@H]23)cc1C(F)(F)F	280.25	3.48	6.65"
"CHEMBL2159570	O=[N+]([O-])c1ccc(C2=NO[C@@H]3CCCC[C@H]23)c(C(F)(F)F)c1	314.26	3.91	6.89"
"CHEMBL2159568	N#Cc1cccc(C2=NOC3CCCCC23)c1C(F)(F)F	294.28	3.87	7.19"
"CHEMBL2159550	Fc1ccc(C2=NOC3CCCCCCC23)c(C(F)(F)F)c1	315.31	4.92	4.88"
"CHEMBL2159564	Fc1ccc(C2=NOC3CCCC23)cc1C(F)(F)F	273.23	3.75	5.83"
"CHEMBL238340	COCCOCCOc1ccccc1-c1ccc(C#N)c(C(F)(F)F)c1	365.35	4.29	5.09"
"CHEMBL394392	N#Cc1ccc(-c2c(O)cccc2O)cc1C(F)(F)F	279.22	3.66	6"
"CHEMBL235601	Cc1cccc(-c2ccc(C#N)c(C(F)(F)F)c2)c1	261.25	4.55	5.72"
"CHEMBL806	CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	276.21	3.21	6"
